Type:          average
Points:        1350
Count:         4
XInc:          1.481481E-012
XOrg:          3.0912800000E-008
YData range:   8.52198E-003
YData center:  2.11200E-003
Coupling:      50 Ohms
XRange:        2.00000E-009
XOffset:       3.0912800000E-008
YRange:        8.16000E-003
YOffset:       2.11200E-003
Date:          03 APR 2011
Time:          17:49:19:31
Frame:         86100C:MY47440989
X Units:       second
Y Units:       Watt
XY Data:
3.1777985E-008, 8.25E-005
3.1779467E-008, 6.22E-005
3.1780948E-008, 6.60E-005
3.1782430E-008, 8.77E-005
3.1783911E-008, 5.68E-005
3.1785393E-008, 6.83E-005
3.1786874E-008, 8.48E-005
3.1788356E-008, 7.35E-005
3.1789837E-008, 9.62E-005
3.1791319E-008, 1.014E-004
3.1792800E-008, 7.18E-005
3.1794281E-008, 7.67E-005
3.1795763E-008, 5.27E-005
3.1797244E-008, 7.22E-005
3.1798726E-008, 9.59E-005
3.1800207E-008, 6.93E-005
3.1801689E-008, 5.11E-005
3.1803170E-008, 5.83E-005
3.1804652E-008, 7.20E-005
3.1806133E-008, 6.01E-005
3.1807615E-008, 4.78E-005
3.1809096E-008, 7.35E-005
3.1810578E-008, 6.48E-005
3.1812059E-008, 8.71E-005
3.1813541E-008, 7.39E-005
3.1815022E-008, 6.80E-005
3.1816504E-008, 6.37E-005
3.1817985E-008, 5.97E-005
3.1819467E-008, 8.02E-005
3.1820948E-008, 9.70E-005
3.1822430E-008, 5.94E-005
3.1823911E-008, 5.56E-005
3.1825393E-008, 8.73E-005
3.1826874E-008, 7.35E-005
3.1828356E-008, 5.68E-005
3.1829837E-008, 8.22E-005
3.1831319E-008, 8.84E-005
3.1832800E-008, 6.41E-005
3.1834281E-008, 4.36E-005
3.1835763E-008, 9.31E-005
3.1837244E-008, 5.51E-005
3.1838726E-008, 9.46E-005
3.1840207E-008, 8.84E-005
3.1841689E-008, 7.09E-005
3.1843170E-008, 7.75E-005
3.1844652E-008, 7.16E-005
3.1846133E-008, 9.81E-005
3.1847615E-008, 8.45E-005
3.1849096E-008, 7.97E-005
3.1850578E-008, 7.71E-005
3.1852059E-008, 5.95E-005
3.1853541E-008, 8.50E-005
3.1855022E-008, 8.53E-005
3.1856504E-008, 7.35E-005
3.1857985E-008, 8.68E-005
3.1859467E-008, 4.78E-005
